time,pv_output_kw,irradiance_direct,irradiance_diffuse,temperature_pv,hour,month,season,temperature_wx,humidity,wind_speed,wind_direction,mean_sea_level_pressure,cloudiness,cloudiness_bin,temperature_bin
2019-01-01 00:00:00+00:00,0.0,0.0,0.0,0.912,0,1,Winter,0.68,98.9,1.38,268.3,95.88,0.5029,"(0.4, 0.6]","(-4.043, 3.853]"
2019-01-01 01:00:00+00:00,0.0,0.0,0.0,0.864,1,1,Winter,0.64,98.94,1.36,262.4,95.87,0.6431999999999999,"(0.6, 0.8]","(-4.043, 3.853]"
2019-01-01 02:00:00+00:00,0.0,0.0,0.0,0.833,2,1,Winter,0.64,98.91,1.42,254.5,95.84,1.0,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-01 03:00:00+00:00,0.0,0.0,0.0,0.793,3,1,Winter,0.64,98.84,1.45,249.4,95.78,1.0,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-01 04:00:00+00:00,0.0,0.0,0.0,0.63,4,1,Winter,0.5,98.56,1.47,246.4,95.7,1.0,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-01 05:00:00+00:00,0.0,0.0,0.0,0.389,5,1,Winter,0.28,98.35,1.41,249.6,95.62,0.9556,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-01 06:00:00+00:00,0.0,0.0,0.0,0.308,6,1,Winter,0.15,97.49,1.44,256.7,95.57,0.9871,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-01 07:00:00+00:00,0.019,0.003,0.013,0.47,7,1,Winter,0.25,96.28,1.65,262.4,95.55,1.0,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-01 08:00:00+00:00,0.139,0.01,0.052,1.085,8,1,Winter,0.85,96.4,1.78,264.8,95.54,0.991,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-01 09:00:00+00:00,0.318,0.028,0.096,1.665,9,1,Winter,1.36,96.28,1.9,260.9,95.49,0.983,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-01 10:00:00+00:00,0.426,0.042,0.119,2.217,10,1,Winter,1.83,95.84,1.91,260.0,95.4,0.9418,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-01 11:00:00+00:00,0.53,0.067,0.13,2.717,11,1,Winter,2.27,95.14,1.92,265.2,95.33,0.9748,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-01 12:00:00+00:00,0.65,0.116,0.123,2.971,12,1,Winter,2.55,94.68,2.06,269.2,95.3,0.9864,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-01 13:00:00+00:00,0.513,0.098,0.093,2.838,13,1,Winter,2.47,95.21,2.13,267.0,95.28,0.9954,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-01 14:00:00+00:00,0.147,0.024,0.041,2.318,14,1,Winter,1.97,96.48,2.34,264.1,95.26,0.9997,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-01 15:00:00+00:00,0.0,0.001,0.002,1.709,15,1,Winter,1.35,97.46,2.57,257.9,95.25,0.9694,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-01 16:00:00+00:00,0.0,0.0,0.0,1.583,16,1,Winter,1.29,96.28,3.09,257.1,95.23,0.7014,"(0.6, 0.8]","(-4.043, 3.853]"
2019-01-01 17:00:00+00:00,0.0,0.0,0.0,1.502,17,1,Winter,1.24,95.47,3.39,259.0,95.22,0.7287,"(0.6, 0.8]","(-4.043, 3.853]"
2019-01-01 18:00:00+00:00,0.0,0.0,0.0,1.352,18,1,Winter,1.09,95.55,3.5,259.6,95.18,0.9413,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-01 19:00:00+00:00,0.0,0.0,0.0,1.235,19,1,Winter,0.99,95.51,3.57,260.3,95.14,0.8695,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-01 20:00:00+00:00,0.0,0.0,0.0,1.199,20,1,Winter,0.95,95.51,3.58,263.1,95.1,0.8691,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-01 21:00:00+00:00,0.0,0.0,0.0,1.125,21,1,Winter,0.86,96.11,3.48,269.5,95.08,0.8779,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-01 22:00:00+00:00,0.0,0.0,0.0,1.022,22,1,Winter,0.7,97.21,3.28,276.3,95.06,0.9255,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-01 23:00:00+00:00,0.0,0.0,0.0,0.98,23,1,Winter,0.74,97.4,3.27,286.9,95.06,0.9854,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-02 00:00:00+00:00,0.0,0.0,0.0,0.729,0,1,Winter,0.63,97.25,3.11,295.3,95.09,0.9607,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-02 01:00:00+00:00,0.0,0.0,0.0,0.314,1,1,Winter,0.28,97.34,3.02,298.0,95.12,0.9849,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-02 02:00:00+00:00,0.0,0.0,0.0,-0.228,2,1,Winter,-0.34,97.32,2.84,293.9,95.14,0.8737999999999999,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-02 03:00:00+00:00,0.0,0.0,0.0,-0.674,3,1,Winter,-0.84,96.61,2.98,286.4,95.12,0.9169,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-02 04:00:00+00:00,0.0,0.0,0.0,-0.95,4,1,Winter,-1.2,95.91,3.25,284.2,95.07,0.9896,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-02 05:00:00+00:00,0.0,0.0,0.0,-0.992,5,1,Winter,-1.3,95.57,3.41,288.0,95.04,0.9991,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-02 06:00:00+00:00,0.0,0.0,0.0,-0.923,6,1,Winter,-1.25,95.18,3.5,294.7,95.05,0.9993,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-02 07:00:00+00:00,0.004,0.001,0.007,-0.824,7,1,Winter,-1.13,95.37,3.47,299.7,95.08,0.9966,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-02 08:00:00+00:00,0.092,0.004,0.041,-0.571,8,1,Winter,-0.93,94.93,3.41,303.0,95.14,0.5724,"(0.4, 0.6]","(-4.043, 3.853]"
2019-01-02 09:00:00+00:00,0.235,0.012,0.083,-0.156,9,1,Winter,-0.6,93.74,3.36,304.7,95.19,0.8334999999999999,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-02 10:00:00+00:00,0.362,0.025,0.113,0.24,10,1,Winter,-0.26,91.66,3.32,308.5,95.21,0.892,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-02 11:00:00+00:00,0.443,0.038,0.127,0.439,11,1,Winter,-0.1,89.67,3.22,313.4,95.17,0.9289,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-02 12:00:00+00:00,0.329,0.024,0.103,0.411,12,1,Winter,-0.13,88.62,2.99,316.8,95.15,0.9765,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-02 13:00:00+00:00,0.177,0.011,0.064,0.115,13,1,Winter,-0.4,88.59,2.74,317.8,95.19,0.9004000000000001,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-02 14:00:00+00:00,0.064,0.005,0.029,-0.437,14,1,Winter,-0.95,89.27,2.59,320.6,95.26,0.7187,"(0.6, 0.8]","(-4.043, 3.853]"
2019-01-02 15:00:00+00:00,0.0,0.0,0.002,-1.245,15,1,Winter,-1.7,90.2,2.45,325.5,95.34,0.5853,"(0.4, 0.6]","(-4.043, 3.853]"
2019-01-02 16:00:00+00:00,0.0,0.0,0.0,-1.873,16,1,Winter,-2.36,91.45,2.34,328.3,95.43,0.7006999999999999,"(0.6, 0.8]","(-4.043, 3.853]"
2019-01-02 17:00:00+00:00,0.0,0.0,0.0,-2.406,17,1,Winter,-2.9,92.92,2.16,328.1,95.52,0.5563,"(0.4, 0.6]","(-4.043, 3.853]"
2019-01-02 18:00:00+00:00,0.0,0.0,0.0,-3.025,18,1,Winter,-3.45,94.08,1.92,326.1,95.6,0.6515000000000001,"(0.6, 0.8]","(-4.043, 3.853]"
2019-01-02 19:00:00+00:00,0.0,0.0,0.0,-3.583,19,1,Winter,-4.01,95.19,1.69,320.3,95.65,0.7637,"(0.6, 0.8]","(-4.043, 3.853]"
2019-01-02 20:00:00+00:00,0.0,0.0,0.0,-4.055,20,1,Winter,-4.66,96.93,1.48,309.8,95.69,0.8634000000000001,"(0.8, 1.0]","(-11.987, -4.043]"
2019-01-02 21:00:00+00:00,0.0,0.0,0.0,-4.199,21,1,Winter,-4.84,96.19,1.66,313.5,95.71,0.8965000000000001,"(0.8, 1.0]","(-11.987, -4.043]"
2019-01-02 22:00:00+00:00,0.0,0.0,0.0,-4.349,22,1,Winter,-4.8,95.51,1.73,314.8,95.73,0.9623,"(0.8, 1.0]","(-11.987, -4.043]"
2019-01-02 23:00:00+00:00,0.0,0.0,0.0,-4.714,23,1,Winter,-5.3,96.18,1.65,312.8,95.76,0.9574,"(0.8, 1.0]","(-11.987, -4.043]"
2019-01-03 00:00:00+00:00,0.0,0.0,0.0,-4.742,0,1,Winter,-5.52,96.06,1.68,310.9,95.8,0.9814,"(0.8, 1.0]","(-11.987, -4.043]"
2019-01-03 01:00:00+00:00,0.0,0.0,0.0,-4.308,1,1,Winter,-5.32,94.85,1.64,308.1,95.83,0.7767000000000001,"(0.6, 0.8]","(-11.987, -4.043]"
2019-01-03 02:00:00+00:00,0.0,0.0,0.0,-3.899,2,1,Winter,-4.97,93.59,1.62,305.5,95.85,0.805,"(0.8, 1.0]","(-11.987, -4.043]"
2019-01-03 03:00:00+00:00,0.0,0.0,0.0,-3.68,3,1,Winter,-4.64,93.23,1.62,303.7,95.86,0.7418,"(0.6, 0.8]","(-11.987, -4.043]"
2019-01-03 04:00:00+00:00,0.0,0.0,0.0,-3.699,4,1,Winter,-4.57,93.43,1.66,303.7,95.88,0.6557,"(0.6, 0.8]","(-11.987, -4.043]"
2019-01-03 05:00:00+00:00,0.0,0.0,0.0,-3.811,5,1,Winter,-4.61,93.42,1.63,304.8,95.93,0.6423000000000001,"(0.6, 0.8]","(-11.987, -4.043]"
2019-01-03 06:00:00+00:00,0.0,0.0,0.0,-4.063,6,1,Winter,-4.89,93.81,1.58,304.4,95.95,0.9711,"(0.8, 1.0]","(-11.987, -4.043]"
2019-01-03 07:00:00+00:00,0.044,0.008,0.017,-4.143,7,1,Winter,-4.93,93.41,1.57,301.2,95.99,1.0,"(0.8, 1.0]","(-11.987, -4.043]"
2019-01-03 08:00:00+00:00,0.35,0.063,0.069,-3.156,8,1,Winter,-3.9,90.46,1.72,298.8,96.0,0.9732,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-03 09:00:00+00:00,0.911,0.233,0.09,-2.121,9,1,Winter,-2.94,84.37,1.94,301.1,95.99,0.9766,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-03 10:00:00+00:00,1.131,0.301,0.101,-1.619,10,1,Winter,-2.5,79.42,2.08,302.6,95.96,0.8767,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-03 11:00:00+00:00,1.095,0.278,0.112,-1.35,11,1,Winter,-2.34,77.4,2.15,299.2,95.9,0.9707,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-03 12:00:00+00:00,0.925,0.221,0.109,-1.266,12,1,Winter,-2.25,76.48,2.22,296.4,95.85,0.6127,"(0.6, 0.8]","(-4.043, 3.853]"
2019-01-03 13:00:00+00:00,0.653,0.148,0.087,-1.428,13,1,Winter,-2.39,77.68,2.11,294.4,95.84,0.6812999999999999,"(0.6, 0.8]","(-4.043, 3.853]"
2019-01-03 14:00:00+00:00,0.238,0.05,0.045,-2.13,14,1,Winter,-3.04,81.4,1.87,290.9,95.85,0.7181000000000001,"(0.6, 0.8]","(-4.043, 3.853]"
2019-01-03 15:00:00+00:00,0.0,0.001,0.002,-3.093,15,1,Winter,-4.02,85.6,1.89,290.7,95.84,0.7825,"(0.6, 0.8]","(-4.043, 3.853]"
2019-01-03 16:00:00+00:00,0.0,0.0,0.0,-3.062,16,1,Winter,-4.04,89.26,2.1,292.1,95.82,0.9451,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-03 17:00:00+00:00,0.0,0.0,0.0,-2.91,17,1,Winter,-3.81,93.75,2.18,294.1,95.82,0.9764,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-03 18:00:00+00:00,0.0,0.0,0.0,-2.725,18,1,Winter,-3.48,96.54,2.14,298.5,95.82,0.9676,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-03 19:00:00+00:00,0.0,0.0,0.0,-2.62,19,1,Winter,-3.26,97.73,2.11,303.8,95.82,0.9313,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-03 20:00:00+00:00,0.0,0.0,0.0,-2.508,20,1,Winter,-3.02,98.03,2.08,307.4,95.82,0.975,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-03 21:00:00+00:00,0.0,0.0,0.0,-2.504,21,1,Winter,-2.94,98.31,1.98,310.7,95.79,0.9967,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-03 22:00:00+00:00,0.0,0.0,0.0,-2.575,22,1,Winter,-3.01,98.25,1.9,313.3,95.8,0.9992,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-03 23:00:00+00:00,0.0,0.0,0.0,-2.642,23,1,Winter,-3.08,98.2,1.92,316.5,95.81,0.9985,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-04 00:00:00+00:00,0.0,0.0,0.0,-2.734,0,1,Winter,-3.24,98.26,1.7,315.0,95.85,0.9933,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-04 01:00:00+00:00,0.0,0.0,0.0,-2.801,1,1,Winter,-3.32,97.95,1.67,314.5,95.87,0.9978,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-04 02:00:00+00:00,0.0,0.0,0.0,-2.895,2,1,Winter,-3.39,97.86,1.62,314.3,95.87,0.9919,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-04 03:00:00+00:00,0.0,0.0,0.0,-3.067,3,1,Winter,-3.64,98.25,1.48,314.2,95.87,0.9975,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-04 04:00:00+00:00,0.0,0.0,0.0,-3.057,4,1,Winter,-3.71,97.81,1.4,312.7,95.87,0.9975,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-04 05:00:00+00:00,0.0,0.0,0.0,-2.957,5,1,Winter,-3.65,97.32,1.35,308.1,95.88,0.9986,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-04 06:00:00+00:00,0.0,0.0,0.0,-2.849,6,1,Winter,-3.58,97.1,1.23,301.4,95.9,0.998,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-04 07:00:00+00:00,0.003,0.0,0.007,-2.713,7,1,Winter,-3.43,96.6,1.19,294.4,95.95,1.0,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-04 08:00:00+00:00,0.058,0.001,0.03,-2.287,8,1,Winter,-2.99,95.05,1.27,289.3,95.99,1.0,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-04 09:00:00+00:00,0.111,0.002,0.049,-1.859,9,1,Winter,-2.5,93.08,1.51,289.8,95.99,1.0,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-04 10:00:00+00:00,0.149,0.003,0.062,-1.558,10,1,Winter,-2.2,91.94,1.57,285.1,95.95,1.0,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-04 11:00:00+00:00,0.164,0.004,0.066,-1.315,11,1,Winter,-1.97,91.6,1.66,278.0,95.88,0.9917,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-04 12:00:00+00:00,0.135,0.003,0.057,-1.192,12,1,Winter,-1.83,91.94,1.7,272.0,95.82,0.995,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-04 13:00:00+00:00,0.091,0.003,0.041,-1.203,13,1,Winter,-1.81,92.64,1.65,267.2,95.79,1.0,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-04 14:00:00+00:00,0.025,0.001,0.017,-1.461,14,1,Winter,-2.01,93.87,1.62,261.5,95.76,1.0,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-04 15:00:00+00:00,0.0,0.0,0.001,-1.812,15,1,Winter,-2.31,94.4,1.71,258.2,95.73,0.9991,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-04 16:00:00+00:00,0.0,0.0,0.0,-1.896,16,1,Winter,-2.43,93.49,1.96,257.6,95.71,0.9972,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-04 17:00:00+00:00,0.0,0.0,0.0,-1.871,17,1,Winter,-2.44,92.65,2.21,258.5,95.71,0.9983,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-04 18:00:00+00:00,0.0,0.0,0.0,-1.788,18,1,Winter,-2.38,92.47,2.41,258.3,95.69,0.9991,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-04 19:00:00+00:00,0.0,0.0,0.0,-1.658,19,1,Winter,-2.3,92.74,2.68,265.1,95.66,0.9989,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-04 20:00:00+00:00,0.0,0.0,0.0,-1.605,20,1,Winter,-2.33,94.15,2.73,266.0,95.62,0.9998,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-04 21:00:00+00:00,0.0,0.0,0.0,-1.626,21,1,Winter,-2.34,95.41,2.79,267.5,95.59,0.9989,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-04 22:00:00+00:00,0.0,0.0,0.0,-1.631,22,1,Winter,-2.22,95.94,2.94,270.8,95.57,1.0,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-04 23:00:00+00:00,0.0,0.0,0.0,-1.638,23,1,Winter,-2.2,96.36,2.96,270.6,95.54,1.0,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-05 00:00:00+00:00,0.0,0.0,0.0,-1.678,0,1,Winter,-2.23,96.59,2.83,267.2,95.53,0.9973,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-05 01:00:00+00:00,0.0,0.0,0.0,-1.718,1,1,Winter,-2.26,96.82,2.7,261.7,95.52,1.0,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-05 02:00:00+00:00,0.0,0.0,0.0,-1.752,2,1,Winter,-2.26,96.79,2.8,258.4,95.49,1.0,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-05 03:00:00+00:00,0.0,0.0,0.0,-1.731,3,1,Winter,-2.18,96.08,2.94,258.0,95.43,0.9986,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-05 04:00:00+00:00,0.0,0.0,0.0,-1.678,4,1,Winter,-2.08,95.51,3.08,257.8,95.36,0.9979,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-05 05:00:00+00:00,0.0,0.0,0.0,-1.66,5,1,Winter,-2.04,95.12,3.26,255.6,95.28,0.996,"(0.8, 1.0]","(-4.043, 3.853]"
2019-01-05 06:00:00+00:00,0.0,0.0,0.0,-1.609,6,1,Winter,-1.97,94.81,3.5,255.6,95.24,0.9994,"(0.8, 1.0]","(-4.043, 3.853]"
