# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 48.150, 11.570 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "48.14951", "lon": "11.56999", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "3", "system_loss": "0.1", "tracking": "0", "tilt": "30", "azim": "200", "raw": "true"}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 01:00,0,0,0,0.912
2019-01-01 01:00,2019-01-01 02:00,0,0,0,0.864
2019-01-01 02:00,2019-01-01 03:00,0,0,0,0.833
2019-01-01 03:00,2019-01-01 04:00,0,0,0,0.793
2019-01-01 04:00,2019-01-01 05:00,0,0,0,0.630
2019-01-01 05:00,2019-01-01 06:00,0,0,0,0.389
2019-01-01 06:00,2019-01-01 07:00,0,0,0,0.308
2019-01-01 07:00,2019-01-01 08:00,0.019,0.003,0.013,0.470
2019-01-01 08:00,2019-01-01 09:00,0.139,0.010,0.052,1.085
2019-01-01 09:00,2019-01-01 10:00,0.318,0.028,0.096,1.665
2019-01-01 10:00,2019-01-01 11:00,0.426,0.042,0.119,2.217
2019-01-01 11:00,2019-01-01 12:00,0.530,0.067,0.130,2.717
2019-01-01 12:00,2019-01-01 13:00,0.650,0.116,0.123,2.971
2019-01-01 13:00,2019-01-01 14:00,0.513,0.098,0.093,2.838
2019-01-01 14:00,2019-01-01 15:00,0.147,0.024,0.041,2.318
2019-01-01 15:00,2019-01-01 16:00,0,0.001,0.002,1.709
2019-01-01 16:00,2019-01-01 17:00,0,0,0,1.583
2019-01-01 17:00,2019-01-01 18:00,0,0,0,1.502
2019-01-01 18:00,2019-01-01 19:00,0,0,0,1.352
2019-01-01 19:00,2019-01-01 20:00,0,0,0,1.235
2019-01-01 20:00,2019-01-01 21:00,0,0,0,1.199
2019-01-01 21:00,2019-01-01 22:00,0,0,0,1.125
2019-01-01 22:00,2019-01-01 23:00,0,0,0,1.022
2019-01-01 23:00,2019-01-02 00:00,0,0,0,0.980
2019-01-02 00:00,2019-01-02 01:00,0,0,0,0.729
2019-01-02 01:00,2019-01-02 02:00,0,0,0,0.314
2019-01-02 02:00,2019-01-02 03:00,0,0,0,-0.228
2019-01-02 03:00,2019-01-02 04:00,0,0,0,-0.674
2019-01-02 04:00,2019-01-02 05:00,0,0,0,-0.950
2019-01-02 05:00,2019-01-02 06:00,0,0,0,-0.992
2019-01-02 06:00,2019-01-02 07:00,0,0,0,-0.923
2019-01-02 07:00,2019-01-02 08:00,0.004,0.001,0.007,-0.824
2019-01-02 08:00,2019-01-02 09:00,0.092,0.004,0.041,-0.571
2019-01-02 09:00,2019-01-02 10:00,0.235,0.012,0.083,-0.156
2019-01-02 10:00,2019-01-02 11:00,0.362,0.025,0.113,0.240
2019-01-02 11:00,2019-01-02 12:00,0.443,0.038,0.127,0.439
2019-01-02 12:00,2019-01-02 13:00,0.329,0.024,0.103,0.411
2019-01-02 13:00,2019-01-02 14:00,0.177,0.011,0.064,0.115
2019-01-02 14:00,2019-01-02 15:00,0.064,0.005,0.029,-0.437
2019-01-02 15:00,2019-01-02 16:00,0,0,0.002,-1.245
2019-01-02 16:00,2019-01-02 17:00,0,0,0,-1.873
2019-01-02 17:00,2019-01-02 18:00,0,0,0,-2.406
2019-01-02 18:00,2019-01-02 19:00,0,0,0,-3.025
2019-01-02 19:00,2019-01-02 20:00,0,0,0,-3.583
2019-01-02 20:00,2019-01-02 21:00,0,0,0,-4.055
2019-01-02 21:00,2019-01-02 22:00,0,0,0,-4.199
