datetime,temperature,humidity,wind_speed,wind_direction,mean_sea_level_pressure,cloudiness
2019-01-01 00:00:00+00:00,0.68,98.9,1.38,268.3,95.88,0.5029
2019-01-01 01:00:00+00:00,0.64,98.94,1.36,262.4,95.87,0.6431999999999999
2019-01-01 02:00:00+00:00,0.64,98.91,1.42,254.5,95.84,1.0
2019-01-01 03:00:00+00:00,0.64,98.84,1.45,249.4,95.78,1.0
2019-01-01 04:00:00+00:00,0.5,98.56,1.47,246.4,95.7,1.0
2019-01-01 05:00:00+00:00,0.28,98.35,1.41,249.6,95.62,0.9556
2019-01-01 06:00:00+00:00,0.15,97.49,1.44,256.7,95.57,0.9871
2019-01-01 07:00:00+00:00,0.25,96.28,1.65,262.4,95.55,1.0
2019-01-01 08:00:00+00:00,0.85,96.4,1.78,264.8,95.54,0.991
2019-01-01 09:00:00+00:00,1.36,96.28,1.9,260.9,95.49,0.983
2019-01-01 10:00:00+00:00,1.83,95.84,1.91,260.0,95.4,0.9418000000000001
2019-01-01 11:00:00+00:00,2.27,95.14,1.92,265.2,95.33,0.9748
2019-01-01 12:00:00+00:00,2.55,94.68,2.06,269.2,95.3,0.9864
2019-01-01 13:00:00+00:00,2.47,95.21,2.13,267.0,95.28,0.9954000000000001
2019-01-01 14:00:00+00:00,1.97,96.48,2.34,264.1,95.26,0.9997
2019-01-01 15:00:00+00:00,1.35,97.46,2.57,257.9,95.25,0.9693999999999999
2019-01-01 16:00:00+00:00,1.29,96.28,3.09,257.1,95.23,0.7014
2019-01-01 17:00:00+00:00,1.24,95.47,3.39,259.0,95.22,0.7287
2019-01-01 18:00:00+00:00,1.09,95.55,3.5,259.6,95.18,0.9412999999999999
2019-01-01 19:00:00+00:00,0.99,95.51,3.57,260.3,95.14,0.8695
2019-01-01 20:00:00+00:00,0.95,95.51,3.58,263.1,95.1,0.8691
2019-01-01 21:00:00+00:00,0.86,96.11,3.48,269.5,95.08,0.8779
2019-01-01 22:00:00+00:00,0.7,97.21,3.28,276.3,95.06,0.9255
2019-01-01 23:00:00+00:00,0.74,97.4,3.27,286.9,95.06,0.9854
2019-01-02 00:00:00+00:00,0.63,97.25,3.11,295.3,95.09,0.9606999999999999
2019-01-02 01:00:00+00:00,0.28,97.34,3.02,298.0,95.12,0.9849
2019-01-02 02:00:00+00:00,-0.34,97.32,2.84,293.9,95.14,0.8737999999999999
2019-01-02 03:00:00+00:00,-0.84,96.61,2.98,286.4,95.12,0.9168999999999999
2019-01-02 04:00:00+00:00,-1.2,95.91,3.25,284.2,95.07,0.9895999999999999
2019-01-02 05:00:00+00:00,-1.3,95.57,3.41,288.0,95.04,0.9991
2019-01-02 06:00:00+00:00,-1.25,95.18,3.5,294.7,95.05,0.9993000000000001
2019-01-02 07:00:00+00:00,-1.13,95.37,3.47,299.7,95.08,0.9965999999999999
2019-01-02 08:00:00+00:00,-0.93,94.93,3.41,303.0,95.14,0.5724
2019-01-02 09:00:00+00:00,-0.6,93.74,3.36,304.7,95.19,0.8334999999999999
