-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2014 through 03/10/2024 in LST
Location: latitude  48.1351   longitude 11.582 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 616.07 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
PS                    MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M,WD10M,PS
2014,1,1,1.07,-0.8,83.67,2.35,180.9,94.22
2014,1,2,0.76,-0.1,90.39,2.52,204.3,93.74
2014,1,3,0.92,0.82,89.88,2.77,199.5,94.16
2014,1,4,0.46,2.25,92.08,2.58,166.7,93.71
2014,1,5,0.47,0.83,98.15,2.82,236.5,93.63
2014,1,6,1.26,1.41,92.27,2.4,181.9,94.32
2014,1,7,1.34,4.21,88.3,2.51,203.5,94.69
2014,1,8,1.41,6.15,79.58,2.5,226.4,94.97
2014,1,9,1.03,5.95,81.78,2.92,221.7,94.35
2014,1,10,1.05,2.86,87.61,3.03,257.3,94.59
2014,1,11,0.75,3.82,89.43,2.51,246.1,94.59
2014,1,12,1.35,1.67,91.53,1.99,294.3,94.97
2014,1,13,0.88,1.49,80.27,2.01,201.7,94.22
2014,1,14,0.28,0.8,95.32,1.77,283.8,93.44
2014,1,15,1.48,-0.14,92.25,2.4,243.0,93.94
2014,1,16,0.78,1.66,87.48,2.31,189.7,93.52
2014,1,17,0.61,1.79,93.53,1.67,134.7,93.4
2014,1,18,0.69,1.27,96.51,2.09,146.8,93.2
2014,1,19,0.92,3.81,95.93,1.84,169.3,92.73
2014,1,20,0.61,1.03,94.95,2.23,263.5,92.93
2014,1,21,0.43,0.54,97.11,2.87,268.7,93.7
2014,1,22,0.68,0.27,94.0,1.61,327.3,93.96
2014,1,23,1.12,0.26,90.4,1.78,234.2,94.19
